Id,City,Address,Status,Start,End,ProductsSelected,TotalPrice,TotalPriceCurrencyCode
33251,Киев,ул. Радужная 8,Timeout,2019-03-30 00:00,2019-03-30 00:01,N,0.00,UAH
33252,Киев,ул. Радужная 8,NewUser,2019-03-30 00:03,2019-03-30 00:04,N,0.00,UAH
33253,Киев,ул. Радужная 8,Timeout,2019-03-30 00:05,2019-03-30 00:06,N,0.00,UAH
33254,Одесса,ул. Малиновского 51,NewUser,2019-03-30 00:05,2019-03-30 00:06,N,0.00,UAH
33255,Одесса,ул. Малиновского 51,NewUser,2019-03-30 00:06,2019-03-30 00:06,N,0.00,UAH
33256,Одесса,ул. Малиновского 51,Timeout,2019-03-30 00:06,2019-03-30 00:09,N,0.00,UAH
33257,Киев,ул. Радужная 8,Timeout,2019-03-30 00:12,2019-03-30 00:17,Y,433.00,UAH
33258,Киев,ул. Ярославская 55,Timeout,2019-03-30 00:18,2019-03-30 00:19,N,0.00,UAH
33259,Одесса,ул. Малиновского 51,NewUser,2019-03-30 00:20,2019-03-30 00:22,N,0.00,UAH
33260,Одесса,ул. Малиновского 51,Timeout,2019-03-30 00:23,2019-03-30 00:24,N,0.00,UAH
33261,Одесса,пр. Глушко 26,NewUser,2019-03-30 00:31,2019-03-30 00:31,N,0.00,UAH
33262,Одесса,пр. Глушко 26,Timeout,2019-03-30 00:31,2019-03-30 00:34,N,0.00,UAH
33263,Киев,"ул. Вербицкого 30, Фуршет",NewUser,2019-03-30 00:39,2019-03-30 00:40,N,0.00,UAH
33264,Киев,"ул. Вербицкого 30, Фуршет",NewUser,2019-03-30 00:40,2019-03-30 00:41,N,0.00,UAH
33265,Киев,ул. Ярославская 55,Timeout,2019-03-30 00:54,2019-03-30 00:56,Y,18649.00,UAH
33266,Одесса,ул. Малиновского 51,Timeout,2019-03-30 00:57,2019-03-30 00:58,N,0.00,UAH
33267,Киев,ул. Ярославская 55,Timeout,2019-03-30 00:59,2019-03-30 01:01,N,0.00,UAH
33268,Киев,пр. Победы 94,Timeout,2019-03-30 01:12,2019-03-30 01:13,N,0.00,UAH
33269,Киев,"пл. Печерская 2, Велика Кишеня",NewUser,2019-03-30 01:12,2019-03-30 01:14,N,0.00,UAH
33270,Киев,пр. Победы 94,Timeout,2019-03-30 01:29,2019-03-30 01:31,N,0.00,UAH
33271,Киев,пр. Победы 94,Timeout,2019-03-30 01:39,2019-03-30 01:41,N,0.00,UAH
33272,Киев,"пл. Печерская 2, Велика Кишеня",Timeout,2019-03-30 01:49,2019-03-30 01:50,N,0.00,UAH
33273,Киев,пр. Победы 94,NewUser,2019-03-30 02:13,2019-03-30 02:13,N,0.00,UAH
33274,Киев,пр. Победы 94,NewUser,2019-03-30 02:13,2019-03-30 02:14,N,0.00,UAH
33275,Киев,пр. Победы 94,Timeout,2019-03-30 02:14,2019-03-30 02:15,N,0.00,UAH
33276,Киев,пр. Победы 94,NewUser,2019-03-30 03:36,2019-03-30 03:37,N,0.00,UAH
33277,Киев,пр. Победы 94,NewUser,2019-03-30 03:37,2019-03-30 03:41,N,0.00,UAH
33278,Киев,пр. Победы 94,NewUser,2019-03-30 03:41,2019-03-30 03:42,N,0.00,UAH
33279,Киев,пр. Победы 94,NewUser,2019-03-30 03:42,2019-03-30 03:42,N,0.00,UAH
33280,Киев,пр. Победы 94,NewUser,2019-03-30 03:42,2019-03-30 03:44,N,0.00,UAH
33281,Киев,пр. Победы 94,NewUser,2019-03-30 03:44,2019-03-30 03:45,N,0.00,UAH
33282,Киев,пр. Победы 94,NewUser,2019-03-30 03:46,2019-03-30 03:48,N,0.00,UAH
33283,Киев,пр. Победы 94,Timeout,2019-03-30 04:10,2019-03-30 04:11,N,0.00,UAH
33284,Киев,пр. Победы 94,NewUser,2019-03-30 05:18,2019-03-30 05:19,N,0.00,UAH
