ModelId,BrandName,ModelName,Exclude,CarType
36454,ABARTH,124 Spider (348_),,Л
14669,ABARTH,500 / 595 / 695 (312_),,Л
14670,ABARTH,500C / 595C / 695C (312_),,Л
14671,ABARTH,GRANDE PUNTO (199_),,Л
14673,ABARTH,PUNTO (199_),,Л
38287,ABARTH,PUNTO EVO (199_),,Л
14674,ABARTH,RITMO (138A_),,Л
4208,AC,428 Fastback,,Л
4209,AC,428 Кабриолет,,Л
4210,AC,ACE,,Л
4211,AC,ACE,,Л
4212,AC,ACECA,,Л
4213,AC,COBRA Mk IV (291N),,Л
4207,AC,ME,,Л
4403,ACURA,INTEGRA купе,,Л
4402,ACURA,INTEGRA Наклонная задняя часть,,Л
4401,ACURA,INTEGRA седан,,Л
4404,ACURA,LEGEND,,Л
4406,ACURA,LEGEND II,,Л
4407,ACURA,LEGEND II купе,,Л
4405,ACURA,LEGEND купе,,Л
6092,ACURA,MDX (YD1),,Л
10059,ACURA,MDX (YD2),,Л
12814,ACURA,MDX (YD3),,Л
4409,ACURA,NSX,,Л
4410,ACURA,NSX тарга (NA1),,Л
10307,ACURA,RDX,,Л
6123,ACURA,RL,,Л
6129,ACURA,RSX купе (DC_),,Л
10306,ACURA,"TL (UA8, UA9)",,Л
13181,ACURA,TLX,,Л
10305,ACURA,TSX (CU_),,Л
11379,ACURA,ZDX,,Л
38431,ADLY MOTORCYCLES,AIR TEC,,M
36688,ADLY MOTORCYCLES,CAT,,M
14545,AEON MOTORCYCLES,ELITE,,M
36700,AEON MOTORCYCLES,MY,,M
14544,AEON MOTORCYCLES,URBAN,,M
6711,AIXAM,400,,Л
6707,AIXAM,500 Наклонная задняя часть,,Л
6708,AIXAM,A.721,,Л
6709,AIXAM,A.741,,Л
6710,AIXAM,A.751,,Л
11661,AIXAM,CITY,,Л
9871,AIXAM,CROSSLINE,,Л
11659,AIXAM,CROSSOVER,,Л
12871,AIXAM,D-TRUCK c бортовой платформой/ходовая часть,,Л
12870,AIXAM,D-TRUCK Пикап,,Л
12868,AIXAM,D-TRUCK Фургон,,Л
278,ALFA ROMEO,145 (930_),,Л
1321,ALFA ROMEO,146 (930_),,Л
4735,ALFA ROMEO,147 (937_),,Л
282,ALFA ROMEO,155 (167_),,Л
2053,ALFA ROMEO,156 (932_),,Л
4635,ALFA ROMEO,156 Sportwagon (932_),,Л
5452,ALFA ROMEO,159 (939_),,Л
5543,ALFA ROMEO,159 Sportwagon (939_),,Л
287,ALFA ROMEO,164 (164_),,Л
3891,ALFA ROMEO,166 (936_),,Л
1818,ALFA ROMEO,1750-2000 (105_),,Л
7546,ALFA ROMEO,1900,,Л
4626,ALFA ROMEO,2300,,Л
7549,ALFA ROMEO,2600 Berlina,,Л
7548,ALFA ROMEO,2600 Spider (106_),,Л
7547,ALFA ROMEO,2600 Sprint,,Л
291,ALFA ROMEO,33 (905_),,Л
295,ALFA ROMEO,33 (907A_),,Л
300,ALFA ROMEO,33 Sportwagon (905A_),,Л
305,ALFA ROMEO,33 Sportwagon (907B_),,Л
11241,ALFA ROMEO,4C (960_),,Л
13239,ALFA ROMEO,4C SPIDER (961_),,Л
309,ALFA ROMEO,6 (119_),,Л
312,ALFA ROMEO,75 (162B_),,Л
9069,ALFA ROMEO,8C (920_),,Л
9071,ALFA ROMEO,8C SPIDER (920_),,Л
316,ALFA ROMEO,90 (162_),,Л
321,ALFA ROMEO,ALFASUD (901_),,Л
325,ALFA ROMEO,ALFASUD Giardinetta (904_),,Л
329,ALFA ROMEO,ALFASUD Sprint (902_),,Л
339,ALFA ROMEO,ALFETTA (116_),,Л
334,ALFA ROMEO,ALFETTA GT (116_),,Л
3847,ALFA ROMEO,AR 6 автобус (280_),,Л
3848,ALFA ROMEO,AR 6 Фургон (280_),,Л
3850,ALFA ROMEO,AR 8 c бортовой платформой/ходовая часть (280_),,Л
3849,ALFA ROMEO,AR 8 Фургон (280_),,Л
353,ALFA ROMEO,ARNA (920_),,Л
5479,ALFA ROMEO,BRERA (939_),,Л
345,ALFA ROMEO,GIULIA (105_),,Л
36486,ALFA ROMEO,GIULIA (952_),,Л
3686,ALFA ROMEO,GIULIA GT,,Л
10217,ALFA ROMEO,GIULIA SPIDER (101_),,Л
483,ALFA ROMEO,GIULIETTA (116_),,Л
8603,ALFA ROMEO,GIULIETTA (940_),,Л
